,name
0,The Shawshank Redemption
1,The Dark Knight
2,The Lord of the Rings: The Return of the King
3,Pulp Fiction
4,Schindler's List
5,Fight Club
6,Inception
7,Forrest Gump
8,The Lord of the Rings: The Fellowship of the Ring
9,The Matrix
10,The Lord of the Rings: The Two Towers
11,Star Wars: Episode V - The Empire Strikes Back
12,Goodfellas
13,City of God
14,The Green Mile
15,Spirited Away
16,Se7en
17,Life Is Beautiful
18,Interstellar
19,Parasite
20,The Silence of the Lambs
21,Saving Private Ryan
22,American History X
23,The Intouchables
24,The Usual Suspects
25,Whiplash
26,Gladiator
27,Back to the Future
28,Black Friday
29,The Pianist
30,The Prestige
31,The Departed
32,The Best of Youth
33,Cinema Paradiso
34,The Lion King
35,Léon: The Professional
36,Terminator 2: Judgment Day
37,Avengers: Infinity War
38,Spider-Man: Into the Spider-Verse
39,Coco
40,Oldboy
41,The Shining
42,The Lives of Others
43,Indiana Jones and the Raiders of the Lost Ark
44,Capharnaüm
45,WALL·E
46,Joker
47,Avengers: Endgame
48,Django Unchained
49,3 Idiots
50,Memento
51,Like Stars on Earth
52,The Dark Knight Rises
53,Your Name.
54,Princess Mononoke
55,Dangal
56,Once Upon a Time in America
57,Eternal Sunshine of the Spotless Mind
58,Chhichhore
59,Lion of the Desert
60,Amélie
61,Requiem for a Dream
62,American Beauty
63,Close-Up
64,Inglourious Basterds
65,Incendies
66,Aliens
67,Full Metal Jacket
68,The Hunt
69,A Separation
70,1917
71,Snatch
72,Toy Story
73,Children of Heaven
74,Repentance
75,Amadeus
76,Good Will Hunting
77,Scarface
78,Star Wars: Episode VI - Return of the Jedi
79,Reservoir Dogs
80,The Business of Show Business
81,To Live
82,Braveheart
83,Das Boot
84,Kinky Boots: The Musical
85,Indiana Jones and the Last Crusade
86,Howl's Moving Castle
87,Bhaag Milkha Bhaag
88,Unforgiven
89,"Lock, Stock and Two Smoking Barrels"
90,Green Book
91,Downfall
92,Andhadhun
93,Ran
94,Time of the Gypsies
95,Swades
96,The Wolf of Wall Street
97,L.A. Confidential
98,Batman Begins
99,The Color of Paradise
100,Yi Yi
101,Heat
102,The Secret in Their Eyes
103,Die Hard
104,Black
105,Casino
106,Toy Story 3
107,Shutter Island
108,Pan's Labyrinth
109,Baahubali 2: The Conclusion
110,There Will Be Blood
111,Werckmeister Harmonies
112,Raging Bull
113,A Beautiful Mind
114,Up
115,Udaan
116,Drishyam
117,Zindagi Na Milegi Dobara
118,My Neighbor Totoro
119,Million Dollar Baby
120,Kill Bill: Vol. 1
121,"Paris, Texas"
122,Jurassic Park
123,In the Name of the Father
124,Wild Tales
125,Song of the Sea
126,The Grand Budapest Hotel
127,PK
128,Sonchiriya
129,Gone Girl
130,The Celebration
131,The Thing
132,Nobody Knows
133,The Truman Show
134,Kahaani
135,Hotel Rwanda
136,Barfi!
137,The Big Lebowski
138,12 Years a Slave
139,Rush
140,Prisoners
141,Raise the Red Lantern
142,Room
143,Inside Out
144,Spotlight
145,Before Sunset
146,Winter Sleep
147,Mad Max: Fury Road
148,Trainspotting
149,Fargo
150,Nostalghia
151,Catch Me If You Can
152,Harry Potter and the Deathly Hallows: Part 2
153,How to Train Your Dragon
154,Stand by Me
155,Three Colors: Red
156,Chungking Express
157,V for Vendetta
158,"Crna macka, beli macor"
159,Warrior
160,Underground
161,The Legend of 1900
162,Before Sunrise
163,Blade Runner
164,La Haine
165,The Sixth Sense
166,Platoon
167,The Sacrifice
168,Hacksaw Ridge
169,The Handmaiden
170,Amores Perros
171,Gran Torino
172,No Country for Old Men
173,Rang De Basanti
174,Lagaan: Once Upon a Time in India
175,"Three Billboards Outside Ebbing, Missouri"
176,In the Mood for Love
177,Departures
178,The Princess Bride
179,Dil Chahta Hai
180,Pink
181,Moscow Does Not Believe in Tears
182,Ford v Ferrari
183,"Monsters, Inc."
184,Fanny and Alexander
185,Logan
186,Into the Wild
187,Mommy
188,Portrait of a Lady on Fire
189,Nausicaä of the Valley of the Wind
190,Memories of Murder
191,Farewell My Concubine
192,Finding Nemo
193,Dead Poets Society
194,Do the Right Thing
195,Gully Boy
196,"Blood In, Blood Out"
197,Dogville
198,The Nightmare Before Christmas
199,Groundhog Day
200,The Return
201,Big Fish
202,Wonder
203,Short Term 12
204,Wings of Desire
205,Dances with Wolves
206,Ratatouille
207,Pink Floyd: The Wall
208,Donnie Darko
209,The Bourne Ultimatum
210,Scent of a Woman
211,Slumdog Millionaire
212,Au Revoir les Enfants
213,Kill Bill: Vol. 2
214,Persepolis
215,Blade Runner 2049
216,The Diving Bell and the Butterfly
217,Elite Squad
218,Salaam Bombay!
219,Dancer in the Dark
220,The Martian
221,3-Iron
222,The Revenant
223,Perfect Blue
224,Dallas Buyers Club
225,Her
226,Pirates of the Caribbean: the Curse of the Black Pearl
227,The Incredibles
228,Central Station
229,My Name Is Khan
230,I Want to Eat Your Pancreas
231,The Terminator
232,"Spring, Summer, Fall, Winter... and Spring"
233,Rain Man
234,Guardians of the Galaxy
235,The Tale of The Princess Kaguya
236,Akira
237,Black Swan
238,Sin City
239,Gandhi
240,Cinderella Man
241,The King's Speech
242,Waltz with Bashir
243,Pred dozhdot
244,12 Monkeys
245,Aladdin
246,The Avengers
247,The Pursuit of Happyness
248,Baahubali: The Beginning
249,Tampopo
250,Jean de Florette
251,Lion
252,Manon of the Spring
253,Super 30
254,Sling Blade
255,The Raid 2
256,Secrets & Lies
257,The Imitation Game
258,Deadpool
259,Bajrangi Bhaijaan
260,Magnolia
261,Darbareye Elly
262,Ghost in the Shell
263,The Iron Giant
264,The Straight Story
265,Beauty and the Beast
266,The Sea Inside
267,Mishima: A Life in Four Chapters
268,The Help
269,JFK
270,Tae Guk Gi: The Brotherhood of War
271,Infernal Affairs
272,Casino Royale
273,Blood Diamond
274,La La Land
275,Zootopia
276,Letters from Iwo Jima
277,Cowboy Bebop: The Movie
278,Matewan
279,Jojo Rabbit
280,Mulholland Dr.
281,Shrek
282,Thor: Ragnarok
283,The King and the Mockingbird
284,42nd Street: The Musical
285,True Romance
286,Kal Ho Naa Ho
287,My Left Foot
288,Boogie Nights
289,Before Midnight
290,Edward Scissorhands
291,Once Were Warriors
292,Children of Men
293,Lakshya
294,Once Upon a Time in Anatolia
295,No Man's Land
296,Millennium Actress
297,The Perks of Being a Wallflower
298,Star Trek
299,Fantastic Mr. Fox
300,Let the Right One In
301,Shoplifters
302,Carlito's Way
303,Burnt by the Sun
304,Hunt for the Wilderpeople
305,The Wrestler
306,Three Colors: Blue
307,"I, Daniel Blake"
308,In Bruges
309,Jab We Met
310,Sing Street
311,"4 Months, 3 Weeks and 2 Days"
312,Nine Queens
313,Call Me by Your Name
314,Hey Ram
315,Shaun of the Dead
316,Bohemian Rhapsody
317,A Taxi Driver
318,Brazil
319,Amour
320,Knockin' on Heaven's Door
321,Life of Pi
322,Kaos
323,Talk to Her
324,The Untouchables
325,Iron Man
326,Crimes and Misdemeanors
327,District 9
328,Almost Famous
329,The Bourne Identity
330,A Prophet
331,All About My Mother
332,Toy Story 2
333,Hannah and Her Sisters
334,Hero
335,The Chorus
336,The Artist
337,Captain Fantastic
338,The Fall
339,This Is Spinal Tap
340,Eternity and a Day
341,Knives Out
342,Arrival
343,A Christmas Story
344,Harry Potter and the Prisoner of Azkaban
345,Mystic River
346,Breaker Morant
347,The Blues Brothers
348,Open
